,username,komentar_netizen,tanggal_dibuat,clean_text
0,tomlembong,Sangat² tidak Empati di saat rakyat lagi susah dgn harga kebutuhan pokok yg meroket dan lapangan kerja yg lemah kita² para Elit Politik sibuk bicara mau guyur ratusan triliun Rupiah uang negara utk bangun Ibukota baru (IKN). https://t.co/Sy3UeD1eVi,Tue Jan 02 08:53:40 +0000 2024,empati rakyat susah harga butuh pokok roket lapang kerja lemah elit politik sibuk bicara guyur ratus triliun rupiah uang negara bangun ibukota ikn
1,DrEvaChaniago,Mungkin maksudnya cuma datang aja ke IKN tapi bukan untuk jadi investor Krn sampai saat ini memang belum ada investor asing Kan bener ya Pak Btw semoga nda ada investor asing yg mau kebayang ibukota negara yg buat asing Ntar kalau si Asing mau jahat misal mau https://t.co/JBiTXZBae1,Mon Jan 01 09:14:55 +0000 2024,maksud kah ikn investor investor asing iya ngomong-ngomong moga investor asing bayang ibukota negara asing sebentar si asing jahat
2,Bumn_PKUJitu,#AbiprayaBangun14EmbungdilIKN Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/sbEqMxLb3o,Tue Jan 02 03:18:14 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
3,electrizen_JMB,Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/OC9lI5jjP6,Wed Jan 03 13:50:34 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
4,rangersbengkulu,Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/TqesFzQl3c,Tue Jan 02 07:59:06 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
5,ElectrizenBogor,Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/4lOHSHZ60b,Thu Jan 04 06:16:40 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
6,electrizen_bnj,Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/wKULnoSwsX,Wed Jan 03 12:42:56 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
7,electrizen_plg,Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/JvEbVrjXF9,Thu Jan 04 10:50:07 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
8,Electrizen_mlg,Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/zELFXnHEVE,Wed Jan 03 12:00:28 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
9,electrizen_yyk,Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. #AbiprayaBangun14EmbungdiIKN https://t.co/wr7BqAe5fB,Wed Jan 03 11:52:00 +0000 2024,brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara
10,Jtzen_MLG5_jago,Selamat Siang Sobat Abipraya! Brantas Abipraya bangun 14 embung IKN sebagai salah satu upaua untuk menanggulangi luapan air hujan di kawasan Ibukota Nusantara. Berlokasi di Kecamatan Sepaku Kabupaten Penajam Paser Utara Kalimantan Timur. #AbiprayaBangun14EmbungdiIKN https://t.co/qmUyXtGn30,Tue Jan 02 03:28:39 +0000 2024,selamat siang sobat abipraya brantas abipraya bangun embung ikn salah upaua tanggulang luap air hujan kawasan ibukota nusantara lokasi camat paku kabupaten najam paser utara kalimantan timur
