"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1174644847904317441","Thu Sep 19 11:22:10 +0000 2019","38","Kunjungan Kerja hari ini rasanya senang sekali idea out the box bagi Indonesia. Ibu Kota Negara (IKN) di Kaltim mendapat respon positif masyarakat. Gubernur Kaltim Bapak Irsan Noor juga selalu support terkait adanya Ibu Kota Baru. https://t.co/1vUCRa3qJa","1174644847904317441","https://pbs.twimg.com/ext_tw_video_thumb/1174644648473587713/pu/img/jcQhg1hHreYHQcm_.jpg","","in","Jakarta Capital Region","2","3","38","https://twitter.com/BudiKaryaS/status/1174644847904317441","4746073878","BudiKaryaS"
"1174237192278990848","Wed Sep 18 08:22:17 +0000 2019","4","#InfoKeu Dialog Nasional IV Pemindahan Ibu Kota Negara #DirjenKN: Penjualan Aset Negara Bukan Opsi Utama Selengkapnya https://t.co/eU15gyBPp9 #JagaAsetNegara #IbuKotaBaru https://t.co/Ivn4nuNa12","1174237192278990848","https://pbs.twimg.com/media/EEu6fVkXsAAVbyZ.jpg","","in","Indonesia","0","0","3","https://twitter.com/DitjenKN/status/1174237192278990848","82549460","DitjenKN"
"1171754343122362374","Wed Sep 11 11:56:20 +0000 2019","0","LANDASAN PACU SAMS SEPINGGAN DIPERPANJANG KPFM BALIKPAPAN - Bandar Udara Internasional Sultan Aji Muhammad Sulaiman (SAMS) Sepinggan Balikpapan menyiapkan diri menyambut Ibu Kota Negara (IKN) yang baru. Salah... https://t.co/2htsnmb11J","1171754343122362374","","","in","Balikpapan, Kalimantan Timur","0","0","0","https://twitter.com/BimaSaputra2017/status/1171754343122362374","873015522312413184","BimaSaputra2017"
"1174645388562882560","Thu Sep 19 11:24:19 +0000 2019","0","BudiKaryaS:Kunjungan Kerja hari ini rasanya senang sekali idea out the box bagi Indonesia. Ibu Kota Negara (IKN) di Kaltim mendapat respon positif masyarakat. Gubernur Kaltim Bapak Irsan Noor juga selalu support terkait adanya Ibu Kota Baru. https://t.co/SjgpSsIoi2","1174645388562882560","","","in","Jawa Barat, Indonesia","0","0","0","https://twitter.com/Sadewazero/status/1174645388562882560","848028633155354626","Sadewazero"
"1173546974320029696","Mon Sep 16 10:39:36 +0000 2019","2","Memindahkan ibu kota negara (IKN) tidak mudah. Melihat pengalaman negara-negara lain yang juga memindahkan IKN mereka diperlukan waktu yang lama sebelum IKN yang baru berfungsi penuh. #Opini #AdadiKompas Baca: https://t.co/BJdDQ5yoY9 https://t.co/20fpYWlIZz","1173546974320029696","https://pbs.twimg.com/media/EElGiIiUwAItyIL.jpg","","in","Palmerah, Jakarta","0","0","0","https://twitter.com/hariankompas/status/1173546974320029696","255866913","hariankompas"
"1171749468695191552","Wed Sep 11 11:36:58 +0000 2019","1","Ass wr wbr setelah IKN ditetapkan mohon kiranya Peraturan Pemerintah atau Kepresnya Tentang Ibu Kota Negara yg baru tindak lanjut dari penetapan tersebut","1171749468695191552","","","in","Kalimantan Kutai Kertanegara","0","0","1","https://twitter.com/hendriansyah843/status/1171749468695191552","2569317210","hendriansyah843"
"1174683476563382272","Thu Sep 19 13:55:40 +0000 2019","0","https://t.co/QjzcUmEnb4 Realita Pindah IKN tuk gotong royong atasi Karhutla sebagai upaya atasi Asap Karhutla Mantap","1174683476563382272","","","in","Jakarta","0","0","0","https://twitter.com/ImamWho/status/1174683476563382272","450775671","ImamWho"
"1172046081447755779","Thu Sep 12 07:27:00 +0000 2019","1","Hasil kajian Kementerian PPN/Bappenas dan link pengunduhannya Kementerian PPN/Bappenas. 2019. Dampak Ekonomi dan Skema Pembiayaan Pemindahan Ibu Kota Negara. Dipresentasikan pada Dialog Nasional II Juni 26. https://t.co/dzss25KLfd","1172048954122362880","","MethodologistID","in","Martapura","0","1","3","https://twitter.com/MethodologistID/status/1172048954122362880","1666679671","MethodologistID"
"1174711321503207424","Thu Sep 19 15:46:18 +0000 2019","0","Menhub mengaku terpesona dengan keindahan alam IKN https://t.co/jLn1GAMihG","1174711321503207424","","","in","","0","1","0","https://twitter.com/IDNTimes/status/1174711321503207424","388190238","IDNTimes"
"1172675635187052544","Sat Sep 14 00:57:13 +0000 2019","0","Identifikasi lahan IKN https://t.co/xwmlyKj0hs","1172675635187052544","","","in","samarinda","0","0","0","https://twitter.com/Kaltim_ANTARA/status/1172675635187052544","560055446","Kaltim_ANTARA"
