"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1188753044214702080","Mon Oct 28 09:43:06 +0000 2019","5","2. #SahabatPembangunan Jembatan tersebut disiapkan untuk menjadi salah satu akses utama menuju Ibu Kota Negara (IKN) baru yang rencananya sebagiannya akan berada di wilayah PPU dari salah satu kota besar terdekat yakni Balikpapan. #bersamaindonesiamaju #SiapPindahIbuKota https://t.co/lRP1MCrl0I","1188753044214702080","https://pbs.twimg.com/media/EH9Mk9eUcAU0sic.jpg","","in","Jakarta","0","0","1","https://twitter.com/BappenasRI/status/1188753044214702080","235021856","BappenasRI"
"1187549588158386177","Fri Oct 25 02:01:00 +0000 2019","0","Lokasinya diperkirakan masih berada dalam hutan penelitian Unmul Bukit Soeharto yang berdekatan dengan jalan tol dan Ibu Kota Negara (IKN). https://t.co/YBS0n4QvXL https://t.co/aSwap51CKI","1187549588158386177","https://pbs.twimg.com/media/EHsGDoHWwAAKjgh.jpg","","in","Bontang, Kaltim, Indonesia","0","0","0","https://twitter.com/bontang_post/status/1187549588158386177","3101199283","bontang_post"
"1189376514657259520","Wed Oct 30 03:00:33 +0000 2019","0","Mangrove yang selama ini ada bisa dimanfaatkan dan menghasilkan banyak keuntungan. #feature #ibukotabaru #ikn https://t.co/WkWdqAOpfQ https://t.co/OLOaYkIR42","1189376514657259520","https://pbs.twimg.com/media/EIGDowZXYAA7Xz6.jpg","","in","Bontang, Kaltim, Indonesia","0","0","0","https://twitter.com/bontang_post/status/1189376514657259520","3101199283","bontang_post"
"1186457122990481408","Tue Oct 22 01:39:56 +0000 2019","1","IKN. . . . . #kutai #kalimantantimur #kaltim #imdonesia #IKN #fotodrone #drone #mavicpro #Ibukota #city #forest #chill #nusantara #indonesiatengah #explore #jelajah #move @ Kabupaten Kutai Kartanegara https://t.co/8puLjoKi1B","1186457122990481408","","","in","Bintaro, jakarta","0","0","0","https://twitter.com/Mahesanursyafei/status/1186457122990481408","187233325","Mahesanursyafei"
"1187614811137273856","Fri Oct 25 06:20:10 +0000 2019","28","Jembatan Pulau Balang II akan meningkatkan konektivitas dan aksesibilitas pada jalur utama angkutan logistik untuk menunjang infrastruktur Ibu Kota Negara (IKN) baru di Kalimantan Timur. Simak penjelasan dan kondisi pembangunannya melalui video ini ya! https://t.co/1m8hpVhFTY","1187614811137273856","","","in","Jl. Pattimura no.20","0","2","5","https://twitter.com/KemenPU/status/1187614811137273856","179835283","KemenPU"
"1186674708671954945","Tue Oct 22 16:04:32 +0000 2019","12","Saat ini tercatat sudah ada 762 peserta yang mengikuti sayembara IKN. Dari jumlah tersebut 12 peserta di antaranya berasal dari luar negeri. https://t.co/T2j6n7qbD4","1186674708671954945","","","in","Jakarta","0","1","10","https://twitter.com/kompascom/status/1186674708671954945","23343960","kompascom"
"1188016927374921729","Sat Oct 26 08:58:02 +0000 2019","0","#Repost ftsp_uniba Grand Jatra Hotel Balikpapan #forumjasakonstruksi Kegiatan Forum Jasa Konstrusi dengan Tema Kesiapan Sumber Daya Konstruksi Dalam Perspektif Pemindahan Ibu Kota Negara (IKN) Bersama https://t.co/O92zu03SY7","1188016927374921729","","","in","Kota Bandung","0","0","0","https://twitter.com/bimajakon/status/1188016927374921729","949502803491241985","bimajakon"
"1186710953498312704","Tue Oct 22 18:28:33 +0000 2019","0","80 Peserta Sayembara Gagasan Desain IKN Ikut Survei Lapangan di Ibu Kota Baru https://t.co/2DBqSk8QmO","1186710953498312704","","","in","Padang","0","0","0","https://twitter.com/RidhoSyarlinto/status/1186710953498312704","467268097","RidhoSyarlinto"
"1187323220833124352","Thu Oct 24 11:01:38 +0000 2019","6","Pengembangan wilayah akan dimulai dari perkotaan terlebih dahulu. Di antaranya enam kota yang menjadi fokus adalah Palembang Banjarmasin Makassar Manado Denpasar serta Ibukota Negara (IKN) di Kalimantan Timur.","1187323258929995778","","KemenPU","in","Jl. Pattimura no.20","0","1","9","https://twitter.com/KemenPU/status/1187323258929995778","179835283","KemenPU"
"1187130844261040130","Wed Oct 23 22:17:03 +0000 2019","0","Kalau serius mau pindah ibu kota 2024 mestinya Pak Bambang Brodjonegoro difokuskan utk agenda ini atau minimal tetap di Bappenas. Dgn ditugaskannya BB di kementerian lain maka butuh orang gila utk jd kepala Badan Otorita Pemindahan IKN #kabinetjokowi","1187130844261040130","","","in","","0","0","4","https://twitter.com/dimasWadrianto/status/1187130844261040130","40649665","dimasWadrianto"
"1186480634832805890","Tue Oct 22 03:13:21 +0000 2019","0","Jangan tergusur di tengah pembangunan IKN https://t.co/yWMUEzu6H3","1186480634832805890","","","in","","0","0","0","https://twitter.com/IDNTimes/status/1186480634832805890","388190238","IDNTimes"
"1188699356494303233","Mon Oct 28 06:09:46 +0000 2019","0","MEMPERSIPAKAN DIRI MASYARAKAT PERIKANAN PPU DALAM MENGHADAPI PERPINDAHAN IKN &amp; REVOLUSI INDUSTRI 4.0 Demam Revolusi Industri 4.0 dan perpindahan ibukota ke PPU bukan hanya isap jempol belaka semuanya seakan telah https://t.co/GYpFZmoJPf","1188699356494303233","","","in","Penajam Paser Utara, Kaltim","0","0","0","https://twitter.com/bach_tear77/status/1188699356494303233","758241167620268032","bach_tear77"
"1188705972228890624","Mon Oct 28 06:36:03 +0000 2019","0","Bupati Kutai Kartanegara Edi Damansyah menyatakan kehadiran Ibu Kota Negara (IKN) disebagian wilayah Kabupaten Kutai Kartanegara sebagaimana disampaikan Presiden Joko Widodo menjadi tantangan sekaligus peluang bagi masyarakat setempat. https://t.co/lbY2k6oGv2","1188705972228890624","","","in","samarinda","0","0","0","https://twitter.com/Kaltim_ANTARA/status/1188705972228890624","560055446","Kaltim_ANTARA"
"1189124853921546240","Tue Oct 29 10:20:32 +0000 2019","1","Menurut Kepala Badan Pengatur Jalan Tol (BPJT) Danang Parikesit prakualifikasi ulang ini tidak terlepas dari rencana pemindahan ibu kota negara (IKN) https://t.co/LadZ6tCM6U","1189124853921546240","","","in","Jakarta","0","0","0","https://twitter.com/kompascom/status/1189124853921546240","23343960","kompascom"
"1186755027827712000","Tue Oct 22 21:23:42 +0000 2019","0","Kabupaten Paser tengah bersiap menjadi daerah penyangga pangan untuk Ibu Kota Negara (IKN) baru di Kaltim karena lokasinya berdekatan dengan Penajam Paser Utara (PPU). https://t.co/u0PHBlWes5","1186755027827712000","","","in","samarinda","0","0","0","https://twitter.com/Kaltim_ANTARA/status/1186755027827712000","560055446","Kaltim_ANTARA"
