"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1186905869058859009","Wed Oct 23 07:23:05 +0000 2019","1","Slmt buat Kabinet Indonesia Maju jilid 2 yg sdh dipilih presiden Jokowi. Walaupun #orangKalimantan tdk ada yg masuk hitungan tdk masalah. Mgkin blm saatnya yg penting pembangunan di Kalimantan hrs makin maju dan mendapatkan porsi besar sebagai bakal IKN.","1186905869058859009","","","in","Indonesia","0","0","0","https://twitter.com/AjangKh/status/1186905869058859009","1044951046957592576","AjangKh"
"1186917313087336448","Wed Oct 23 08:08:45 +0000 2019","19","Salah satu peserta mengatakan motivasi mengikuti Sayembara ini adalah untuk berkontribusi bagi masa depan bangsa Indonesia dengan mendesain IKN di Kaltim agar berstandar dunia. #PUPRSigapMembangunNegeri https://t.co/BSJsMq2AZB","1186917361170804736","https://pbs.twimg.com/media/EHjHCsBVAAAZ71v.jpg","KemenPU","in","Jl. Pattimura no.20","0","1","2","https://twitter.com/KemenPU/status/1186917361170804736","179835283","KemenPU"
"1188753044214702080","Mon Oct 28 09:43:06 +0000 2019","5","2. #SahabatPembangunan Jembatan tersebut disiapkan untuk menjadi salah satu akses utama menuju Ibu Kota Negara (IKN) baru yang rencananya sebagiannya akan berada di wilayah PPU dari salah satu kota besar terdekat yakni Balikpapan. #bersamaindonesiamaju #SiapPindahIbuKota https://t.co/lRP1MCrl0I","1188753044214702080","https://pbs.twimg.com/media/EH9Mk9eUcAU0sic.jpg","","in","Jakarta","0","0","1","https://twitter.com/BappenasRI/status/1188753044214702080","235021856","BappenasRI"
"1187330500496510976","Thu Oct 24 11:30:25 +0000 2019","0","Kalimantan Timur Ditetapkan Sebagai IKN Forum Kebangsaan Kaltim Gelar Syukuran dan Silaturahmi https://t.co/9V3C0ATvbO via @tribunkaltim","1187330500496510976","","","in","Kalimantan Timur, Indonesia","0","0","0","https://twitter.com/Desmawangga/status/1187330500496510976","1492778185","Desmawangga"
"1188057080818782209","Sat Oct 26 11:37:35 +0000 2019","0","Alhamdulillah rezeki org sakit. Keluar jerr IKN dpt plak bendalah ni semua. TQ kpd shbt² yg berhati mulia. Bkn senang nk dpt madu kelulut yg mmg certified asli ni garam bukit yg mmg https://t.co/zmodasACCK","1188057080818782209","","","in","Kuala Lumpur Federal Territory","0","0","0","https://twitter.com/kyranisa_abang/status/1188057080818782209","870265881821036544","kyranisa_abang"
"1186646043997302784","Tue Oct 22 14:10:38 +0000 2019","0","Kalteng Siap Menjadi Penyangga Pangan IKN https://t.co/P51oWnAF3n","1186646043997302784","","","in","Jalan M H Thamrin No 1 Palangk","0","0","0","https://twitter.com/rripro2plk/status/1186646043997302784","1371749838","rripro2plk"
"1188016927374921729","Sat Oct 26 08:58:02 +0000 2019","0","#Repost ftsp_uniba Grand Jatra Hotel Balikpapan #forumjasakonstruksi Kegiatan Forum Jasa Konstrusi dengan Tema Kesiapan Sumber Daya Konstruksi Dalam Perspektif Pemindahan Ibu Kota Negara (IKN) Bersama https://t.co/O92zu03SY7","1188016927374921729","","","in","Kota Bandung","0","0","0","https://twitter.com/bimajakon/status/1188016927374921729","949502803491241985","bimajakon"
"1189399240344125440","Wed Oct 30 04:30:51 +0000 2019","0","Dalam 1 office ada 3 orang aku panggil boss ex-boss IKN boss MD &amp; current boss team aku. Kalau diorg ada setempat kalau panggil boss jadi confuse. Mungkin boss team tu kena panggil bossku kot senang beza. Haha","1189399240344125440","","","in","","0","0","0","https://twitter.com/fadkamalz/status/1189399240344125440","704325137567354881","fadkamalz"
"1187730044480675840","Fri Oct 25 13:58:04 +0000 2019","0","750 Peserta Ikut Sayembara desain IKN https://t.co/OezU8g4mRF","1187730044480675840","","","in","Wisma Bisnis Indonesia","0","0","0","https://twitter.com/bisnisindgroup/status/1187730044480675840","275487233","bisnisindgroup"
"1189502021184835585","Wed Oct 30 11:37:13 +0000 2019","0","@aby_ikn @x1members Gagi wala talaga juskooo","1189506538559246337","","aby_ikn","tl","","0","0","0","https://twitter.com/hanburgyul/status/1189506538559246337","1135837631059599360","hanburgyul"
