"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1531563831906172933","Tue May 31 09:10:47 +0000 2022","72","Satu lagi manula kisut otak ruwet alasan dia karena konflik kepentingan Ketua MK deket dengan JKW. Karena dia sedang gugat UU IKN..laah apa hubungannya dengan JKW kemaren pas RUU masih di meja DPR ngapain aja ni Manula?? https://t.co/zcqfFVzsXq","1531563831906172933","https://pbs.twimg.com/media/FUE1L00aAAA_QO0.jpg","","in","📍Atas Kasur ","1","34","13","https://twitter.com/Pai_C1/status/1531563831906172933","1465606400474632199","Pai_C1"
"1531705348372869121","Tue May 31 18:33:07 +0000 2022","811","KETUA MK Tidak Mundur dari jabatannya SUDAH MELANGGAR Pasal 17 ayat (4) dan ayat (5) UU No. 48 Tahun 2009 tentang Kekuasaan Kehakiman dalam konteks MK Tolak Gugatan UU IKN. @MahkamahAgung cc @__Sridiana_3va @LaNyallaAcademy @RamliRizal @msaid_didu Ref : https://t.co/o0p8cWxkJs","1531705348372869121","","","in","","33","59","380","https://twitter.com/blank0429/status/1531705348372869121","2908675710","blank0429"
"1531523065624264704","Tue May 31 06:28:47 +0000 2022","11","Awas Hoax yang Menyatakan Dana Haji untuk Bangun IKN Nusantara. Justru Pemerintah Berikan Subsidi untuk Calon Jemaah Haji dimana BPKH telah menyiapkan dana kelolaan sebanyak Rp.7.5 Triliun. https://t.co/o8PkUTjzIz","1531523065624264704","https://pbs.twimg.com/media/FUEQF9eacAAemrO.jpg","","in","Candisari, Indonesia","0","11","6","https://twitter.com/DwiKilaw/status/1531523065624264704","1411110013733523457","DwiKilaw"
"1531603937966510080","Tue May 31 11:50:09 +0000 2022","28","kenyataanya berbulan bulan tidak surut surut di calon IKN https://t.co/X8xiUqFle0","1531603937966510080","","","in","bumi Allah","0","3","9","https://twitter.com/Amrizaldy511/status/1531603937966510080","1302554734964867072","Amrizaldy511"
"1531458243981373440","Tue May 31 02:11:13 +0000 2022","9","Pemindahan Ibu Kota Negara ke Kalimantan Timur dapat mendukung Kelestarian Kebudayaan Dayak dan Membantu Suku Asli Menjadi Lebih Maju. #IKN Nusantara dapat mengenalkan beragam seni budaya yang ada di Kalimantan. #SemangatNusantara. Dukung #IbukotaNegara Baru IKN Nusantara. https://t.co/DYte0A2bIx","1531458243981373440","https://pbs.twimg.com/media/FUDVJwwagAU3LLz.jpg","","in","Candisari, Indonesia","0","10","4","https://twitter.com/DwiKilaw/status/1531458243981373440","1411110013733523457","DwiKilaw"
"1531509579002937346","Tue May 31 05:35:12 +0000 2022","111","Sd permohonan JR yg ke 13 (kami) dr berbagai materi gugutan yg berbeda beda; soal cagub/bup yg pernah sbg pecandu narkoba uu IKN kami soal uu pemilu dll. semua ditolak MK dg alasan tuntutannya kabur..","1531509579002937346","","","in","-6.252543,106.806343","1","17","20","https://twitter.com/alisyarief/status/1531509579002937346","30201110","alisyarief"
"1531536101768187912","Tue May 31 07:20:35 +0000 2022","51","MK tolak gugatan UU IKN yang diajukan Busyro Muqoddas. Kadrun: Gak kaget ketua MK adik ipar Jokowi . ","1531536101768187912","","","in","","1","6","7","https://twitter.com/03__nakula/status/1531536101768187912","1101696077147729920","03__nakula"
"1531597763967787008","Tue May 31 11:25:37 +0000 2022","3","UJI Formil Undang-Undang IKN: Putusan MK Tendensius? https://t.co/ZRZ2MhoBo3","1531597763967787008","","","in","Jl. Wijaya 1 No. 81 Jakarta","0","0","3","https://twitter.com/Persuasi_id/status/1531597763967787008","1410628619752198146","Persuasi_id"
"1531780713892040707","Tue May 31 23:32:35 +0000 2022","39","Satu korban sudah dimulai. Terserah jika MK mengatakan bhw Ketua MK independen dalam ambil keputusan. Faktanya IKN adalah program kakak ipar sebagai adik ipar harus mengamankan muka kakak ipar. Teruskan sampai Indonesia benar-benar hancur oleh nepotisme di lembaga hukum.","1531780713892040707","","","in","","1","4","18","https://twitter.com/saidi_sudarsono/status/1531780713892040707","1372686617471688705","saidi_sudarsono"
"1531461717645209600","Tue May 31 02:25:01 +0000 2022","14","Undangan peliputan bagi media dan publik untuk mengikuti sidang ketiga pengambilan keputusan terkait JR UU IKN yang dilakukan oleh Aliansi Rakyat Gugat Pemindahan Ibukota Negara. #SahkanRUUMasyarakatAdat #TolakIKN #TolakUUIKN https://t.co/hAoh1V7yUu","1531461717645209600","https://pbs.twimg.com/media/FUDYO4aakAApwh7.jpg","","in","","0","0","8","https://twitter.com/RumahAMAN/status/1531461717645209600","264056433","RumahAMAN"
